Everybody matched with top 7 preferences:
m472: matched to w9 (rank 1)
m473: matched to w458 (rank 1)
m474: matched to w534 (rank 4)
m475: matched to w178 (rank 1)
m476: matched to w396 (rank 2)
m477: matched to w576 (rank 2)
m478: matched to w155 (rank 1)
m479: matched to w530 (rank 1)
m480: matched to w564 (rank 2)
m481: matched to w404 (rank 1)
m482: matched to w71 (rank 5)
m483: matched to w259 (rank 1)
m484: matched to w90 (rank 2)
m485: matched to w574 (rank 1)
m486: matched to w575 (rank 1)
m487: matched to w61 (rank 1)
m488: matched to w446 (rank 2)
m489: matched to w568 (rank 4)
m490: matched to w197 (rank 1)
m491: matched to w241 (rank 2)
m492: matched to w531 (rank 3)
m493: matched to w251 (rank 2)
m494: matched to w203 (rank 1)
m495: matched to w5 (rank 3)
m496: matched to w359 (rank 2)
m497: matched to w22 (rank 1)
m498: matched to w80 (rank 3)
m499: matched to w417 (rank 2)
m500: matched to w497 (rank 1)
m501: matched to w210 (rank 2)
m502: matched to w43 (rank 4)
m503: matched to w560 (rank 1)
m504: matched to w432 (rank 1)
m505: matched to w513 (rank 1)
m506: matched to w419 (rank 3)
m507: matched to w533 (rank 1)
m508: matched to w303 (rank 2)
m509: matched to w23 (rank 2)
m510: matched to w228 (rank 3)
m511: matched to w380 (rank 7)
m512: matched to w296 (rank 2)
m513: matched to w19 (rank 3)
m514: matched to w124 (rank 1)
m515: matched to w357 (rank 1)
m516: matched to w358 (rank 1)
m517: matched to w82 (rank 1)
m518: matched to w509 (rank 2)
m519: matched to w100 (rank 1)
m520: matched to w133 (rank 1)
m521: matched to w114 (rank 2)
m522: matched to w473 (rank 6)
m523: matched to w143 (rank 1)
m524: matched to w588 (rank 2)
m525: matched to w418 (rank 1)
m526: matched to w85 (rank 2)
m527: matched to w502 (rank 1)
m528: matched to w230 (rank 1)
m529: matched to w424 (rank 1)
m530: matched to w378 (rank 2)
m531: matched to w422 (rank 1)
m532: matched to w223 (rank 2)
m533: matched to w15 (rank 2)
m534: matched to w368 (rank 3)
