Everybody matched with top 8 preferences:
m439: matched to w211 (rank 1)
m440: matched to w595 (rank 3)
m441: matched to w450 (rank 2)
m442: matched to w668 (rank 3)
m443: matched to w531 (rank 1)
m444: matched to w978 (rank 2)
m445: matched to w785 (rank 1)
m446: matched to w111 (rank 4)
m447: matched to w514 (rank 3)
m448: matched to w56 (rank 2)
m449: matched to w45 (rank 1)
m450: matched to w649 (rank 2)
m451: matched to w579 (rank 1)
m452: matched to w572 (rank 4)
m453: matched to w412 (rank 1)
m454: matched to w945 (rank 8)
m455: matched to w377 (rank 1)
m456: matched to w259 (rank 1)
m457: matched to w240 (rank 1)
m458: matched to w41 (rank 1)
m459: matched to w565 (rank 3)
m460: matched to w897 (rank 1)
m461: matched to w23 (rank 5)
m462: matched to w339 (rank 2)
m463: matched to w838 (rank 3)
m464: matched to w824 (rank 2)
m465: matched to w453 (rank 3)
m466: matched to w202 (rank 3)
m467: matched to w771 (rank 1)
m468: matched to w199 (rank 3)
m469: matched to w435 (rank 2)
m470: matched to w841 (rank 1)
m471: matched to w799 (rank 2)
m472: matched to w414 (rank 2)
m473: matched to w308 (rank 1)
m474: matched to w585 (rank 2)
m475: matched to w605 (rank 3)
m476: matched to w733 (rank 1)
m477: matched to w494 (rank 2)
m478: matched to w989 (rank 2)
m479: matched to w193 (rank 2)
m480: matched to w698 (rank 1)
m481: matched to w674 (rank 2)
m482: matched to w555 (rank 1)
m483: matched to w590 (rank 1)
m484: matched to w112 (rank 5)
m485: matched to w902 (rank 1)
m486: matched to w540 (rank 1)
m487: matched to w790 (rank 1)
m488: matched to w963 (rank 3)
m489: matched to w378 (rank 3)
m490: matched to w831 (rank 1)
m491: matched to w95 (rank 2)
m492: matched to w754 (rank 1)
m493: matched to w484 (rank 3)
m494: matched to w639 (rank 1)
m495: matched to w558 (rank 3)
m496: matched to w130 (rank 2)
m497: matched to w387 (rank 1)
m498: matched to w684 (rank 2)
m499: matched to w581 (rank 1)
m500: matched to w724 (rank 1)
m501: matched to w574 (rank 1)
m502: matched to w812 (rank 1)
m503: matched to w404 (rank 1)
m504: matched to w274 (rank 3)
m505: matched to w250 (rank 1)
m506: matched to w398 (rank 4)
m507: matched to w299 (rank 2)
m508: matched to w491 (rank 1)
m509: matched to w52 (rank 2)
m510: matched to w218 (rank 1)
m511: matched to w919 (rank 2)
m512: matched to w261 (rank 1)
m513: matched to w737 (rank 1)
m514: matched to w364 (rank 2)
m515: matched to w441 (rank 1)
m516: matched to w887 (rank 3)
m517: matched to w104 (rank 4)
m518: matched to w652 (rank 1)
m519: matched to w569 (rank 1)
m520: matched to w908 (rank 5)
m521: matched to w877 (rank 1)
m522: matched to w604 (rank 2)
m523: matched to w340 (rank 2)
m524: matched to w853 (rank 2)
m525: matched to w454 (rank 5)
m526: matched to w51 (rank 2)
m527: matched to w422 (rank 3)
m528: matched to w34 (rank 2)
m529: matched to w637 (rank 1)
m530: matched to w603 (rank 2)
m531: matched to w629 (rank 1)
m532: matched to w528 (rank 2)
m533: matched to w161 (rank 2)
m534: matched to w296 (rank 1)
m535: matched to w361 (rank 2)
m536: matched to w426 (rank 1)
m537: matched to w775 (rank 1)
m538: matched to w818 (rank 1)
m539: matched to w229 (rank 3)
m540: matched to w911 (rank 2)
m541: matched to w718 (rank 1)
m542: matched to w483 (rank 1)
m543: matched to w462 (rank 2)
m544: matched to w466 (rank 2)
m545: matched to w622 (rank 2)
m546: matched to w309 (rank 2)
m547: matched to w334 (rank 1)
m548: matched to w768 (rank 1)
m549: matched to w215 (rank 1)
m550: matched to w859 (rank 3)
m551: matched to w65 (rank 1)
m552: matched to w641 (rank 1)
m553: matched to w80 (rank 3)
m554: matched to w249 (rank 2)
m555: matched to w535 (rank 2)
m556: matched to w669 (rank 4)
m557: matched to w773 (rank 2)
m558: matched to w35 (rank 1)
m559: matched to w108 (rank 2)
m560: matched to w22 (rank 3)
m561: matched to w967 (rank 1)
m562: matched to w544 (rank 2)
m563: matched to w961 (rank 2)
m564: matched to w663 (rank 2)
m565: matched to w496 (rank 5)
m566: matched to w278 (rank 1)
m567: matched to w592 (rank 1)
m568: matched to w546 (rank 2)
m569: matched to w217 (rank 2)
m570: matched to w839 (rank 2)
m571: matched to w139 (rank 1)
m572: matched to w620 (rank 3)
m573: matched to w813 (rank 3)
m574: matched to w471 (rank 1)
m575: matched to w662 (rank 1)
m576: matched to w77 (rank 2)
m577: matched to w866 (rank 1)
m578: matched to w800 (rank 3)
m579: matched to w638 (rank 1)
m580: matched to w476 (rank 1)
m581: matched to w627 (rank 2)
m582: matched to w262 (rank 1)
m583: matched to w277 (rank 1)
m584: matched to w490 (rank 4)
m585: matched to w343 (rank 1)
m586: matched to w957 (rank 1)
m587: matched to w888 (rank 1)
m588: matched to w578 (rank 1)
m589: matched to w848 (rank 1)
m590: matched to w640 (rank 1)
m591: matched to w500 (rank 1)
m592: matched to w238 (rank 1)
m593: matched to w128 (rank 2)
m594: matched to w580 (rank 1)
m595: matched to w560 (rank 1)
m596: matched to w144 (rank 1)
m597: matched to w939 (rank 1)
m598: matched to w383 (rank 1)
m599: matched to w174 (rank 5)
m600: matched to w367 (rank 2)
m601: matched to w449 (rank 2)
m602: matched to w992 (rank 1)
m603: matched to w464 (rank 2)
m604: matched to w44 (rank 1)
m605: matched to w825 (rank 3)
m606: matched to w214 (rank 1)
m607: matched to w170 (rank 2)
m608: matched to w543 (rank 1)
m609: matched to w700 (rank 3)
m610: matched to w32 (rank 2)
m611: matched to w757 (rank 2)
m612: matched to w157 (rank 1)
m613: matched to w388 (rank 2)
m614: matched to w69 (rank 1)
m615: matched to w655 (rank 1)
m616: matched to w717 (rank 5)
m617: matched to w752 (rank 2)
m618: matched to w155 (rank 4)
m619: matched to w204 (rank 2)
m620: matched to w728 (rank 1)
m621: matched to w455 (rank 2)
m622: matched to w244 (rank 4)
m623: matched to w14 (rank 3)
m624: matched to w316 (rank 1)
m625: matched to w73 (rank 3)
m626: matched to w327 (rank 2)
m627: matched to w121 (rank 3)
m628: matched to w950 (rank 2)
m629: matched to w729 (rank 1)
m630: matched to w344 (rank 1)
m631: matched to w122 (rank 1)
m632: matched to w571 (rank 2)
m633: matched to w12 (rank 3)
m634: matched to w591 (rank 3)
m635: matched to w154 (rank 2)
m636: matched to w643 (rank 3)
m637: matched to w408 (rank 1)
m638: matched to w465 (rank 2)
m639: matched to w922 (rank 1)
m640: matched to w291 (rank 2)
m641: matched to w667 (rank 1)
m642: matched to w893 (rank 3)
m643: matched to w143 (rank 4)
m644: matched to w789 (rank 1)
m645: matched to w293 (rank 3)
m646: matched to w903 (rank 1)
m647: matched to w29 (rank 1)
m648: matched to w779 (rank 2)
m649: matched to w522 (rank 1)
m650: matched to w234 (rank 2)
